"floors","rooms","width","length","size","area_name","region_name","price","living_size","toilets","ward_name","direction","directionNumber","balconydirection","balconydirectionNumber"
"","2","","","40","Quận Đống Đa","Hà Nội","1550000000","0","1","Phường Láng Thượng","","0","","0"
"","2","","","79","Quận 8","Tp Hồ Chí Minh","2250000000","0","2","Phường 4","","0","","0"
"","2","","","67","Quận 7","Tp Hồ Chí Minh","2330000000","0","2","Phường Phú Thuận","","0","","0"
"","3","","","100","Quận 8","Tp Hồ Chí Minh","3280000000","0","2","Phường 6","","0","","0"
"","2","","","66","Thành phố Thủ Đức","Tp Hồ Chí Minh","1760000000","0","2","Phường Bình Trưng Tây (Quận 2 cũ)","","0","","0"
"","3","","","109","Quận Bình Thạnh","Tp Hồ Chí Minh","12200000000","0","2","Phường 22","","0","","0"
"","3","","","97","Thành phố Thủ Đức","Tp Hồ Chí Minh","3950000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","74","Thành phố Thuận An","Bình Dương","1650000000","0","2","Phường Lái Thiêu","","0","","0"
"","2","","","65","Quận Bình Tân","Tp Hồ Chí Minh","1700000000","0","2","Phường Bình Hưng Hòa","","0","","0"
"","2","","","78","Quận 8","Tp Hồ Chí Minh","1580000000","0","2","Phường 4","","0","","0"
"","2","","","41","Quận 11","Tp Hồ Chí Minh","2200000000","0","1","Phường 5","","8","","8"
"","1","","","38","Thành phố Thủ Đức","Tp Hồ Chí Minh","1100000000","0","1","Phường Linh Trung (Quận Thủ Đức cũ)","","3","","2"
"","2","","","70","Quận Cái Răng","Cần Thơ","1450000000","0","1","Phường Hưng Phú","","8","","5"
"","2","","","47","Quận 12","Tp Hồ Chí Minh","1310000000","0","2","Phường Tân Chánh Hiệp","","0","","0"
"","2","","","72","Quận 7","Tp Hồ Chí Minh","4680000000","0","2","Phường Tân Thuận Tây","","5","","7"
"","1","","","45","Huyện Bình Chánh","Tp Hồ Chí Minh","1450000000","0","1","Xã Bình Hưng","","0","","0"
"","2","","","62","Thành phố Thủ Đức","Tp Hồ Chí Minh","2300000000","0","1","Phường An Phú (Quận 2 cũ)","","5","","8"
"","2","","","68","Thành phố Thủ Đức","Tp Hồ Chí Minh","1790000000","0","2","Phường Phú Hữu (Quận 9 cũ)","","0","","0"
"","2","","","70","Quận 12","Tp Hồ Chí Minh","4000000000","0","2","Phường Thới An","","0","","0"
"","2","","","66","Thành phố Thủ Đức","Tp Hồ Chí Minh","2550000000","0","2","Phường An Khánh (Quận 2 cũ)","","0","","0"
"","2","","","71","Thành phố Thủ Đức","Tp Hồ Chí Minh","3150000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","79","Quận Bình Tân","Tp Hồ Chí Minh","3000000000","0","2","Phường An Lạc","","0","","0"
"","2","","","81","Quận 4","Tp Hồ Chí Minh","4200000000","0","2","Phường 1","","5","Hướng Tây Nam","8"
"","2","","","64","Quận Bình Tân","Tp Hồ Chí Minh","1750000000","0","2","Phường Bình Hưng Hoà A","","0","","0"
"","2","","","72","Thành phố Thủ Đức","Tp Hồ Chí Minh","2350000000","0","0","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","50","Thành phố Thủ Dầu Một","Bình Dương","1200000000","0","1","Phường Phú Lợi","","0","","0"
"","2","","","82","Thành phố Thủ Đức","Tp Hồ Chí Minh","5790000000","0","2","Phường Thạnh Mỹ Lợi (Quận 2 cũ)","","0","","0"
"","1","","","53","Quận Tân Bình","Tp Hồ Chí Minh","2700000000","0","1","Phường 2","","0","","0"
"","2","","","64","Thành phố Thủ Đức","Tp Hồ Chí Minh","4600000000","0","0","Phường Thảo Điền (Quận 2 cũ)","","6","","7"
"","2","","","54.1","Thành phố Thủ Đức","Tp Hồ Chí Minh","2350000000","0","1","Phường Long Thạnh Mỹ (Quận 9 cũ)","","0","","0"
"","2","","","73","Thành phố Dĩ An","Bình Dương","2280000000","0","2","Phường Đông Hòa","","8","","8"
"","2","","","54","Quận Bình Tân","Tp Hồ Chí Minh","1500000000","0","1","Phường Tân Tạo","","8","","5"
